,Job Title,min salary,max,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
1363,Data System Analyst,30000.00,53000.00,"Irving, TX","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1
1364,Data Analyst,30000.00,53000.00,"Dallas, TX","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,-1
1365,Research Data Analyst,30000.00,53000.00,"Arlington, TX","Arlington, TX",201 to 500 employees,1966,Nonprofit Organization,Membership Organizations,Business Services,$10 to $25 million (USD),-1,-1
1366,Data Analyst,30000.00,53000.00,"Dallas, TX","Bengaluru, India",201 to 500 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,-1
1367,RAPD Risk Platforms & Data - Analyst,30000.00,53000.00,"Dallas, TX","New York, NY",10000+ employees,1869,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),"J.P. Morgan, Merrill Lynch, Morgan Stanley",-1
1368,Business Data Analyst,30000.00,53000.00,"Plano, TX","Santa Clara, CA",5001 to 10000 employees,1987,Company - Private,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Palo Alto Networks, NortonLifeLock, CrowdStrike",-1
1369,Data Analyst,30000.00,53000.00,"Plano, TX","Memphis, TN",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,-1
1370,Business Analyst/Data Consultant,30000.00,53000.00,"Irving, TX","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture",TRUE
1371,Data Analyst - Contract Renewals,30000.00,53000.00,"Richardson, TX","Richardson, TX",5001 to 10000 employees,1998,Company - Public,Computer Hardware & Software,Information Technology,$500 million to $1 billion (USD),"Yardi Systems, AppFolio",-1
1372,Analyst Supply Chain I Data Management,41000.00,86000.00,"Lewisville, TX","Addison, TX",5001 to 10000 employees,1963,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,-1
1373,Data Analyst,41000.00,86000.00,"Dallas, TX","Irvine, CA",51 to 200 employees,1990,Company - Private,Video Games,Media,Unknown / Non-Applicable,-1,-1
1374,Data Analyst,41000.00,86000.00,"Grapevine, TX","Plano, TX",51 to 200 employees,2007,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1,-1
1375,Data Integration Analyst,41000.00,86000.00,"Irving, TX","Irving, TX",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$5 to $10 million (USD),-1,-1
1376,Data Analyst,41000.00,86000.00,"Plano, TX","New York, NY",501 to 1000 employees,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),-1,-1
1377,Data Analyst,41000.00,86000.00,"Addison, TX","San Antonio, TX",51 to 200 employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,-1
1378,Healthcare Analyst / Healthcare Data Analyst,41000.00,86000.00,"Irving, TX","Irving, TX",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1,-1
1379,Human Resources data Analyst,41000.00,86000.00,"Plano, TX","Paris, France",51 to 200 employees,1997,Unknown,-1,-1,Unknown / Non-Applicable,-1,-1
1380,Business Analyst - Data Protection,41000.00,86000.00,"Irving, TX","Tokyo, Japan",10000+ employees,1967,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Capgemini, Accenture, Deloitte",-1
1381,Data Analyst,41000.00,86000.00,"Arlington, TX","Winnebago, NE",201 to 500 employees,1995,Company - Private,Convenience Stores & Truck Stops,"Restaurants, Bars & Food Services",$100 to $500 million (USD),-1,-1
1382,Data Analyst,41000.00,86000.00,"Plano, TX","New Brunswick, NJ",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,-1
1383,Data Analytics Senior Analyst,41000.00,86000.00,"Irving, TX","New York, NY",10000+ employees,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,-1
